Symbol
CCL
BYND
WYNN
LVS
FANG
XOM
SPCE
RCL
TDOC
LVGO
OXY
BP
MGM
EXPE
CHEF
RUTH
RRGB
PBPB
DIN
BJRI
JACK
AAL
DAL
UAL
SAVE
LUV
NCLH
